"","iteration","beta0","beta1","beta2","beta3","beta4.1.","beta4.2.","beta4.3.","beta4.4.","beta4.5.","beta4.6.","beta4.7.","beta4.8.","beta4.9.","beta4.10.","beta4.11.","beta4.12.","beta4.13.","beta4.14.","beta4.15.","beta4.16.","beta4.17.","beta4.18.","beta4.19.","beta4.20.","beta4.21.","beta4.22.","beta4.23.","beta4.24.","beta4.25.","beta4.26.","beta4.27.","beta4.28.","beta4.29.","beta4.30.","beta4.31.","beta5.1.","beta5.2.","beta5.3.","beta5.4.","beta5.5.","beta5.6.","beta5.7.","beta5.8.","beta5.9.","beta5.10.","beta5.11.","beta5.12.","beta5.13.","beta5.14.","beta5.15.","beta5.16.","beta5.17.","beta5.18.","beta5.19.","beta5.20.","beta5.21.","beta5.22.","beta5.23.","beta5.24.","beta5.25.","beta5.26.","beta5.27.","beta5.28.","beta5.29.","beta5.30.","beta5.31."
"1",1,0.969905681729843,0.0214387012690073,0.748137323939065,-0.00220815415268241,0,-0.184494108159804,-0.119600019246625,-0.173242276598616,-0.0927382007448893,-0.173820033293225,-0.160047195947215,-0.192079177548433,-0.103269006091367,-0.355302638863221,-0.165300375346579,-0.240637681289612,-0.126875672790979,-0.190621326306238,-0.0531024488484975,-0.27109371271442,-0.157279049936632,-0.119071975144108,-0.0784053991293308,-0.0768025496045324,-0.142943730231476,-0.181221770513201,-0.134107738899088,-0.167036923342477,-0.169815098023059,-0.11879345240147,-0.0894435080610522,-0.153835990840591,-0.160127447581265,-0.0883602304438599,-0.187014399129495,0,0.1887593431215,0.0835840315854501,0.181617088922381,0.248652663312765,0.0711762527170749,0.165244564375208,0.102345002373351,0.118882534766811,0.371783560403574,0.220647466108666,0.0696320282014967,0.0238566342658709,0.109471131940561,0.045795349728628,-0.000613392636186025,0.107009073477931,0.05640319919265,0.220176097033583,0.0505798109896508,0.0254200376050332,0.0393696309115028,-0.00386891816326792,-0.0752248879772873,-0.0762070868672112,0.00232236745466485,0.119886767207552,0.00782066714578176,0.199413515550414,0.166416430573424,0.109427564473461
"2",2,0.972591000054283,0.0203981528392563,0.750868061431748,-0.00467148614589012,0,-0.19368947213272,-0.135014238050369,-0.124463756199645,-0.0761730449499035,-0.177898922112227,-0.154071614510413,-0.202203048122243,-0.0945951593138598,-0.348205220754571,-0.166638895773428,-0.270324106044484,-0.103564655105297,-0.190173047903674,-0.0479980037571896,-0.192562078828408,-0.173225462668043,-0.152170832384297,-0.123058554175421,-0.0741803618708079,-0.103336079917997,-0.147798192188151,-0.138297626432422,-0.181142006132227,-0.174331823621853,-0.179220102126635,-0.0594590415163475,-0.123231374151594,-0.135499056482279,-0.0938485529017576,-0.168098871479266,0,0.191285019650992,0.0928726541062915,0.15730203242706,0.196638503105126,0.0566247448491479,0.0849977858463298,0.104893058993951,0.133688159446084,0.340985446087257,0.22857471079026,0.043019594668641,0.0206627736955166,0.128606817367187,0.0102898185371736,0.0439507948207673,0.109721757783442,0.0637734830613629,0.178682230834604,0.0272903153834228,0.0467587151099152,0.073186225741194,0.00232370382997314,-0.0506937889791619,-0.111914822990899,0.0318299859971123,0.0849574090136241,0.035441057589193,0.24394838533582,0.190893612596444,0.121701138736653
"3",3,0.973789123475844,0.0185197433783967,0.758152814869573,-0.00528381220647772,0,-0.161537269966432,-0.0728453055979949,-0.144252808045429,-0.0757182358138189,-0.16180762101856,-0.131600286280235,-0.226299475155041,-0.0932284592733736,-0.34489405999894,-0.147017076382542,-0.262387792113673,-0.104094900561652,-0.194089164020173,-0.077478365339163,-0.215391753717697,-0.146922071038006,-0.140353841007407,-0.0929590054728704,-0.111832558636163,-0.089622244459448,-0.14259206279537,-0.186176131995567,-0.161077112590552,-0.167395894945743,-0.107315868459773,-0.0205560930158071,-0.13809257495267,-0.149764223104736,-0.0772837108418739,-0.123895055618899,0,0.175963397911838,0.0638329990296427,0.192706120436239,0.227319913088149,0.0850242087891946,0.109867802265358,0.133299662326488,0.121480686722585,0.356626593571413,0.209747472495257,0.0942202242985553,0.00221867650812932,0.0947794777752481,0.0232026542719254,0.0215010924316233,0.056481669460465,0.084738238248047,0.2307910739785,-0.0189505392823729,0.123254926741021,0.0308927427325404,0.00474310112692589,-0.0675413316142305,-0.0628245095786808,0.00435730121338605,0.108323731906734,0.0384935350946312,0.229633845966438,0.143448291011468,0.134608908788207
"4",4,0.971944612743349,0.0179027754644093,0.756178797949131,-0.00243820642476823,0,-0.184186139811893,-0.0876911313640512,-0.156261015589915,-0.0682016700489208,-0.16717317107482,-0.12688189875812,-0.145422742054922,-0.126727037032651,-0.32663394012935,-0.134040564618706,-0.0810482324506747,-0.106429543939796,-0.129275201140157,-0.0423876524815121,-0.251271726024864,-0.171004186661154,-0.133639128334122,-0.0907233136241362,-0.0711733084172587,-0.140173501844208,-0.178724249572294,-0.185204714188314,-0.171246414409201,-0.178640354785668,-0.138765674499347,-0.0185620071023835,-0.118191984452171,-0.193302788201501,-0.0842868708270183,-0.12814934270715,0,0.190210062512103,0.0573506348221715,0.167912447850335,0.242017899413892,0.0837493955460735,0.150911116764916,0.15047460118873,0.149467821881477,0.347596111262985,0.172532821051686,0.0238114060567582,-0.0254887503784708,0.0951578491076052,-0.0250333046926327,-0.00804478531277105,0.086236220430152,0.112259423946832,0.194564001061518,0.00667170481327795,0.0997474956299289,0.0641571647820857,0.00260804172028334,-0.0515537102402597,-0.157945871560183,0.0198017780970272,0.0826625836199072,0.0459246849455603,0.184176627693889,0.148777206310005,0.102909548884106
"5",5,0.970878516328096,0.0181077932429852,0.759664685860692,-0.00488655376835538,0,-0.186908027364712,-0.101247700645829,-0.146518402795083,-0.0609929316225984,-0.136388850851994,-0.143154661748696,-0.208318107357376,-0.0903491440791426,-0.309829510311456,-0.13334018455955,-0.208460967412675,-0.115266174957657,-0.119780425955701,-0.0563185657416413,-0.19545445609191,-0.185040655380414,-0.145186718430944,-0.0871546133467381,-0.067884266322774,-0.120689139639611,-0.120514720195165,-0.13645340942598,-0.168425380300366,-0.19465497716717,-0.157282101923566,-0.0476476617580496,-0.127049201512501,-0.168135013185671,-0.107051097903368,-0.16301426812135,0,0.146655296069398,0.0949790142794757,0.1406169127677,0.22412821682836,0.070837897702343,0.160117622522156,0.149544747999063,0.11915812633319,0.344951050489129,0.171707858064232,0.0250375958314932,-0.0340686149331686,0.0963253993005056,-0.0291259181847109,0.00412921349571748,0.0632920216364119,0.117814974629206,0.170774200171358,-0.0166223540116936,0.107220833266521,0.0642161612478425,-0.0284827875915593,-0.0240647185115822,-0.056841024545073,-0.0137184268890685,0.0944251387171948,0.00787511386936685,0.204146917247592,0.137996389193291,0.14027789709687
"6",6,0.96716333269268,0.0186808877510106,0.763839475273229,-0.00366967108795791,0,-0.168685372584301,-0.121568188524541,-0.173821941066397,-0.0265639789688369,-0.103265055176911,-0.141554071478865,-0.162279910368093,-0.0908946748906751,-0.311950787001843,-0.167102591753664,-0.171936317889556,-0.122183304435559,-0.183948068654718,-0.0910776296001485,-0.237509515473245,-0.145319517314257,-0.0816998941861329,-0.0747578628717822,-0.101234382548596,-0.106660808368312,-0.12830548887422,-0.140925177696827,-0.133025380862029,-0.162478170258961,-0.131982727460502,-0.0828224900544812,-0.116236380892253,-0.144739841682366,-0.0837342423242033,-0.1772072496416,0,0.199380887154273,0.0667032909455814,0.19676487143216,0.221245223590497,0.0421572536789794,0.117493147339619,0.126837970149898,0.0934371302193479,0.366476961046886,0.186830961041869,-0.0251600921402296,-0.0354636849678576,0.0908951185159035,0.000173613114149686,-0.026946584329809,0.0480030549528289,0.113111215734276,0.175656343048954,-0.0201885685472265,0.078118736444877,0.0608925143563376,-0.0167072691016371,-0.0107500556869046,-0.169577978336684,0.0191562688732887,0.0529293606313871,0.0152568583005866,0.206633415966914,0.139071710167572,0.0882276188580842
"7",7,0.971344044412692,0.0145507313545801,0.771960998072262,-0.00359795227389365,0,-0.19009098341399,-0.0822472048495261,-0.0969060145610295,-0.00721734643379074,-0.0851931969723995,-0.127664512302901,-0.152508612399984,-0.093566982241148,-0.316161297236825,-0.135990015662661,-0.141610860398117,-0.105164327779711,-0.205352865488238,-0.0549212597496035,-0.20564879564232,-0.135974863137734,-0.158034601742961,-0.114111351240269,-0.082134273181522,-0.0787644056037354,-0.157319352237295,-0.148274881338109,-0.134324380272266,-0.131977065057501,-0.147904763147326,-0.0420846574037612,-0.118482481096961,-0.160619716743449,-0.0829825250744771,-0.118410063078088,0,0.198410860279935,0.0762049826549257,0.185343620002588,0.228684467803939,0.0122783954289667,0.125184114081493,0.0775493387159695,0.101952496680131,0.329296985614132,0.187835530311041,-0.0422251127893981,-1.2512878303228e-06,0.0675660235675957,-0.0146924538117744,-0.0128577547173672,0.118455431415738,0.076329923862205,0.181600631904426,-0.0134790522341552,0.122920891841064,0.0445604557978542,-0.0277146412441413,0.00392539109355999,-0.139521222878794,-0.0182139224340865,0.0723084289417243,0.0110387800404072,0.190739898091064,0.114844578595233,0.0746437973386797
"8",8,0.963709110315068,0.0150846864484014,0.770561363073036,-0.0054287408364274,0,-0.13806167685924,-0.0752289360605891,-0.0960605995610834,-0.00805960898605065,-0.160283208436899,-0.105596806663134,-0.126818790181387,-0.113682437490838,-0.331788399167187,-0.128710329852727,-0.155495638652308,-0.0920143615315272,-0.119812884948169,-0.0320063626624159,-0.28538292792865,-0.156602086672773,-0.104950656841135,-0.081060657394517,-0.0938623413601665,-0.120265759844346,-0.122159612341833,-0.174470629277068,-0.168739477991239,-0.189376554733803,-0.142847339958946,-0.0308211145515368,-0.118751194603647,-0.187905472805255,-0.0744396156802424,-0.14990271058415,0,0.171706910295852,0.0872627912538218,0.159854393302818,0.264870038284678,0.091819803337726,0.114047226421579,0.0846262651534569,0.114942099511822,0.321710748203007,0.178775821041705,-0.0175038126405247,0.0137358087266135,0.104302602049108,0.0172641493389484,0.0229948952301228,0.105978474027429,0.0829642552585226,0.179479456637794,0.000526537421760016,0.126111006711192,0.0273390871590748,-0.0230332622199655,-0.123473171676394,-0.105770194201769,-0.00773684204145449,0.107102858534517,0.0379136002682168,0.218335276544213,0.122379453076026,0.0736756332253039
"9",9,0.966071927826877,0.0159663973935172,0.768719851024589,-0.00367146118208508,0,-0.190007736164687,-0.0777110771788467,-0.101836318253621,0.000793375011076167,-0.0942054852852395,-0.15219588822736,-0.173011250489105,-0.109596355641377,-0.333240287624206,-0.120646046610256,-0.133737647751198,-0.0984579986175758,-0.173066932242712,-0.0424148412511072,-0.272843815784772,-0.15695728008102,-0.108794081171151,-0.101467137895563,-0.0390722455014189,-0.138277302875135,-0.129231765822235,-0.158225711406299,-0.183594763734915,-0.144069541216203,-0.191229382462261,-0.104688118996956,-0.110272911031528,-0.166936312294383,-0.075403320971829,-0.174835548208789,0,0.173425512119573,0.0492122478278638,0.124277928262198,0.250369702166122,0.0722211509877722,0.0963812673335902,0.0880621709876035,0.113066460350317,0.362989894917305,0.197262477178498,-0.0424642981834254,0.0142465527325206,0.0831047148450716,0.00321850701739382,-0.0148878220134985,0.0852733255207465,0.0813262202862294,0.236815295404318,-0.00615324067385483,0.0763113282622912,0.0320243786822186,-0.0179260586960805,-0.0305324326685122,-0.128477287372369,-0.0297905795786931,0.0767789359730044,0.0162973579817847,0.194092112938015,0.119499186634803,0.147919000289057
"10",10,0.973227546535168,0.0160735081073101,0.766202983165553,-0.00583884106010517,0,-0.180432131411766,-0.0760273137462659,-0.203859913573001,-0.0393517580351946,-0.0998964955687577,-0.131716670271956,-0.162149721239163,-0.0868782473161213,-0.364496893264564,-0.119755410380214,-0.230754915417574,-0.104349475480034,-0.185317088023911,-0.0681706432998113,-0.251166017742063,-0.163156898522391,-0.128808665683753,-0.0835937362026953,-0.0908613395736624,-0.0795802913807414,-0.11211460545443,-0.204498903488311,-0.163942841359595,-0.182429756247236,-0.193666413862758,-0.0521506744076819,-0.122983202591966,-0.178236889976539,-0.0823005430034337,-0.182792213294817,0,0.173159600490777,0.0570333223923964,0.20862127749682,0.228893617593743,0.0727305127119311,0.113833375445482,0.11125759946142,0.114235330558044,0.346750775131284,0.187764017043262,-0.0336335988181203,-0.0395022130128145,0.114734215404103,-0.0109846370509857,0.0385610276739666,0.0960498394717228,0.0748499476198043,0.230428574191797,-0.0217015418244301,0.078448084144978,0.0433238078278073,-0.0054576141719077,-0.0549327618797951,-0.106759578315697,-0.0113329247983898,0.0951720865374701,0.00604574719727547,0.214125401190154,0.175150937526528,0.114827422320443
