"","iteration","beta0","beta1","beta2","beta3","beta4.1.","beta4.2.","beta4.3.","beta4.4.","beta4.5.","beta4.6.","beta4.7.","beta4.8.","beta4.9.","beta4.10.","beta4.11.","beta4.12.","beta4.13.","beta4.14.","beta4.15.","beta4.16.","beta4.17.","beta4.18.","beta4.19.","beta4.20.","beta4.21.","beta4.22.","beta4.23.","beta4.24.","beta4.25.","beta4.26.","beta4.27.","beta4.28.","beta4.29.","beta4.30.","beta4.31.","beta5.1.","beta5.2.","beta5.3.","beta5.4.","beta5.5.","beta5.6.","beta5.7.","beta5.8.","beta5.9.","beta5.10.","beta5.11.","beta5.12.","beta5.13.","beta5.14.","beta5.15.","beta5.16.","beta5.17.","beta5.18.","beta5.19.","beta5.20.","beta5.21.","beta5.22.","beta5.23.","beta5.24.","beta5.25.","beta5.26.","beta5.27.","beta5.28.","beta5.29.","beta5.30.","beta5.31."
"1",1,0.725626354094037,0.0105046361583049,0.522922963062781,-0.0173828096915935,0,-0.131669302362379,-0.118488481495913,-0.192471734790891,-0.0586767600005121,-0.0485032542684421,-0.11855861293922,-0.0986655790784089,-0.174303872736094,-0.31216340567366,-0.0821130860604933,-0.105549437049227,-0.0667231879726885,-0.161097733992851,-0.0177587225590171,-0.238725864225777,-0.118863756234744,-0.138403176730583,-0.0418047525480799,-0.0772927868454698,-0.0413804326234157,-0.165503778963464,-0.0845457258205846,-0.0844442953224181,-0.144864654486549,-0.0901492206115415,-0.0312697187865207,-0.1133621923788,-0.144268669456164,-0.0275590077393872,-0.0971138968502801,0,0.176586759089326,0.12464612024597,0.109405937990801,0.19143847792469,0.107959577057626,0.151316296393634,0.153184132761544,0.136031620859258,0.393594116153596,0.143946252674483,-0.0209499642262368,0.0681816362569193,0.124668045469664,-0.0191017338734698,0.0554910024816582,0.106056344993461,0.091332947541708,0.195667329815296,0.0198382776671653,0.10625861942732,0.022894312204733,-0.00751493283023517,-0.0518360833813112,-0.095920207109519,-0.00180341219067769,0.0916828230855647,0.0358385632161057,0.187602886294839,0.123772328582692,0.147407338755659
"2",2,0.728143307867401,0.0127546946044765,0.534179652772535,-0.0184994177976391,0,-0.106278656011008,-0.0710008047885921,-0.128397694826921,0.00667914531790352,-0.0971204326493828,-0.118235406112943,-0.0962657745573566,-0.0824626168583511,-0.379117492085545,-0.134686111575013,-0.135034358225527,-0.0607623268181449,-0.146805434348341,-0.0682462169871271,-0.237555447535157,-0.132735483298778,-0.142989443756945,-0.0381828672777621,-0.0895373332734984,-0.0458713013049543,-0.107743721708834,-0.168547657926501,-0.18776544352926,-0.159456452350367,-0.138859937098478,-0.0615683907833547,-0.103125459490152,-0.128103684421009,-0.0316495061177859,-0.13385701550272,0,0.169635887990025,0.113484298730315,0.177930518682638,0.15210602794511,0.0733646891823351,0.122526276922215,0.148208122287791,0.154276709412007,0.366039642005594,0.175232214429808,-0.0417191961646396,-0.025354716627559,0.0944425086971262,-0.00432871020702207,0.0446502615332875,0.0567294541132506,0.124173857198441,0.181648767177683,0.0467323497105821,0.128808587097539,0.0245651779482327,-0.0376337039237236,-0.0382322511344291,-0.0904261105400645,-0.0029904617378224,0.0994437682651231,0.0463566560705688,0.209240529807479,0.156528605270665,0.096650623091546
"3",3,0.728403264883746,0.0123389389094508,0.543945566570007,-0.0160641771545002,0,-0.108511460944601,-0.105312475246404,-0.164420817555281,-0.0431649803394484,-0.0375265451717582,-0.119358218020268,-0.139792627313041,-0.097543322214203,-0.277545089695113,-0.149805022867479,-0.136191826738434,-0.0516469403380458,-0.150067086744775,0.0064240474028065,-0.196846661538635,-0.0950395990305619,-0.110390937214583,-0.0645453093850671,-0.0753036449303056,-0.128211569178569,-0.0476095920856163,-0.175544864353162,-0.149470609125719,-0.168356595227634,-0.0917480822312519,-0.0659846385139659,-0.073388943454073,-0.158157143158153,-0.096241217605516,-0.148213342321435,0,0.172772465641443,0.101096320358951,0.159465303431982,0.158558353618185,0.0564121982446292,0.0936563274883462,0.137889739832071,0.0987947298845264,0.364812053335855,0.171739055413858,-0.0504372672715043,-0.0240626985131862,0.0904519677546365,-0.0208216480937036,0.0365374090903382,0.0277181929475755,0.10596005224105,0.173887410162422,-9.76672413000382e-06,0.0947111489262255,0.0834381719074146,-0.0493921035502,-0.0714992972999681,-0.123911741027254,0.048968997031338,0.106941592853347,0.0425382452519741,0.146539233907441,0.129961228402805,0.164834704436918
"4",4,0.726789932682308,0.0112552134083521,0.539768932492575,-0.0145433144735993,0,-0.121175989414988,-0.0837701645991836,-0.17307312836413,-0.0116979290439472,-0.0640777666407596,-0.0819053687454251,-0.0917989827376249,-0.138224599683662,-0.379395553325306,-0.102307104135403,0.0055312284020867,-0.100298242019944,-0.153806350093273,-0.0188686761343847,-0.16554650386834,-0.113870921402637,-0.140629721319834,-0.0239244011457675,-0.0602224572369045,-0.0705766825049745,-0.107369379985187,-0.141075761095915,-0.0816051682703367,-0.191265565494485,-0.128767425329956,-0.0379516426745343,-0.106451564800921,-0.152729755118663,-0.0447822869796123,-0.0930309661630956,0,0.191192645296119,0.0306722244381555,0.137762503094192,0.162244195925778,0.04478512521884,0.121552723336899,0.120684025370143,0.150698379049473,0.3700468690924,0.148183356826517,0.10329134195612,-0.0313004502235542,0.087020225039693,-0.00277214274976914,-0.0116373780478708,0.0155578711484389,0.0770153460204011,0.15524361433495,0.0615326147855788,0.106820280871953,0.0405296326913977,-0.0199099871591687,-0.0905167339642891,-0.100693361659948,0.0287127058103077,0.0695412074055631,0.0357714988847204,0.125676546815348,0.127308795976024,0.16600641841305
"5",5,0.727413096845866,0.0103072544468219,0.539457568274471,-0.0154591144152195,0,-0.118341318343564,-0.075509167251339,-0.124049087061281,0.0174298424529276,-0.092029315866313,-0.0719778378319041,-0.116369043503257,-0.126393802085369,-0.284968685506838,-0.107436976165029,-0.217312449721174,-0.0877821673662435,-0.0996441793498326,-0.0263601932804496,-0.19389585641617,-0.0752912157205785,-0.123513779887191,-0.0407117660184285,-0.0581097016538929,-0.0691073669892952,-0.124362862563573,-0.141090591860822,-0.106204895984036,-0.19142450445362,-0.106035761645659,-0.052231458845923,-0.130968101285316,-0.190403318068617,-0.0735239067488136,-0.0918714820411524,0,0.205251503302715,0.0520157602201492,0.206827661929504,0.240141179928408,0.0557486494759788,0.101641003789153,0.120667697087526,0.0649191795322785,0.349301879260824,0.164967957353527,0.0645404767402427,-0.0615002549594517,0.0704455906354269,0.0214640063040681,-0.0199721826755858,0.0592396642035575,0.0568980691947343,0.175361514260719,-0.010499154509128,0.104973959230367,0.038326147964252,-0.0273278535933106,-0.0757640655887264,-0.118615784541082,-0.0557538887860671,0.144619294948864,0.0267344923713821,0.172113039162281,0.157626009274087,0.122730071507415
"6",6,0.725675885635798,0.0113639802465937,0.536546380677507,-0.012805133605136,0,-0.156746847129748,-0.0624080657616915,-0.124473343367142,0.034048285631375,-0.0672199369817649,-0.111412254695908,-0.112861326953616,-0.111842843390829,-0.378512024483405,-0.10098842805164,-0.19590134560687,-0.0406738108950256,-0.119242610957205,-0.0497961075882264,-0.20522008761885,-0.122224549313383,-0.13194199197223,-0.044588652988058,-0.0742953155574552,-0.0432768089659963,-0.0883302405457367,-0.129790316081254,-0.107256711779352,-0.179289001197434,-0.0937933222118297,-0.0530804633112557,-0.131048948965816,-0.170460756060825,-0.0339178613017751,-0.0827562370760964,0,0.135115225498934,0.0639497834947425,0.0856122653050344,0.246433207859433,0.0125764888086224,0.0776147902792532,0.132452650648389,0.0824981034564955,0.340775200635648,0.176391214282204,0.0378082358382663,0.074858969123274,0.0680078830716886,0.0358665305481827,-0.0327240267316281,0.035081165500393,0.0298872521861863,0.172427897065354,-0.0199164264826121,0.0857635663542432,0.0227727980519077,0.0220548544494924,-0.0379086390961258,-0.134893218112449,-0.0396555630220645,0.0946666778042521,0.0173810725795944,0.197748243533878,0.0834004821721805,0.169606003488324
"7",7,0.727503660409897,0.00752359570733457,0.538139971999981,-0.0114132854570041,0,-0.133714946052027,-0.0629556203335508,-0.128558627761983,0.0380914646265313,-0.0707693939405881,-0.0922756792165803,-0.111685951342263,-0.0891040782889625,-0.301844821124074,-0.142690153907908,-0.0677746977511675,-0.0900053490667897,-0.108997739571415,-0.00606700417402569,-0.199136409584587,-0.061553999876005,-0.125944169044245,-0.0488785446314974,-0.0246665966519118,-0.106285395464279,-0.118606346612049,-0.132972130868667,-0.0784221671321721,-0.199418307855872,-0.0908284601848697,-0.0545192654896204,-0.128242401472793,-0.130818064089329,-0.0375699113552236,-0.159283158756459,0,0.134039474688942,0.114493017771416,0.098741445878744,0.177553098562279,0.0479144850499937,0.110014721114318,0.130214311100437,0.106106065029301,0.295595704947957,0.185955602554234,0.11059523919771,0.0179553614449393,0.0497315277313258,0.0178041848314335,-0.0519931611020867,0.044305972055804,0.0387780300756353,0.167804660913106,-0.0224452396155268,0.104679710817666,0.0762212966851652,0.002795882281411,-0.0597607670606399,-0.105213394296085,-0.0314959413686935,0.0744783641651694,0.0244830540021183,0.160547707076234,0.12951392377337,0.189956096779437
"8",8,0.730114728184326,0.00853011518514933,0.533741768680657,-0.0121753700803783,0,-0.0999666581372496,-0.0499873045287683,-0.124041758226619,-0.0243534406848339,-0.0710912703999054,-0.0966290210371624,-0.145407896638073,-0.0979313490154158,-0.283586703168578,-0.0829383883376194,-0.135357012732031,-0.0468119566391734,-0.133305505190075,-0.0235317711660452,-0.19628586356499,-0.121070004388005,-0.10625634536001,-0.00866815079674061,-0.0362751642242512,-0.0977114826166422,-0.144136246802673,-0.124498963466718,-0.172129957706595,-0.179734460117062,-0.129432276125616,-0.061880304340946,-0.120038285112419,-0.129303427510987,-0.0440496323440034,-0.148041799096552,0,0.208969840860173,0.0700120342320228,0.0866594546673248,0.184123182835707,0.0829043245630142,0.101740160549048,0.127914754800213,0.162671129983175,0.324724473295993,0.147635463495681,-0.00330949551361727,0.012663599709137,0.0802795299191985,-0.055851223403052,-0.030905486450796,0.033616497737728,0.0945804363871544,0.156401046013953,-0.0136660924871386,0.162792979524662,0.0771482319115732,0.00175241707875438,-0.0930255308661424,-0.155557350331763,-0.0175481073659696,0.0842862229725171,0.0158761223482155,0.165097025503119,0.141781424093762,0.0592240183602135
"9",9,0.72950178002192,0.0083246765429079,0.540559567702831,-0.0164844558491819,0,-0.104332975519082,-0.0883210709750922,-0.129018106461811,-0.0391150079740411,-0.108164258674036,-0.0995334489530747,-0.152343409932027,-0.0993223691206505,-0.280848889486057,-0.129848446395745,-0.0585111503703296,-0.0471185493557757,-0.114176373312585,-0.031639863811266,-0.205804220253809,-0.102624903007442,-0.0947419287453278,-0.00572963030622241,-0.0733353165543641,-0.102544333376931,-0.147282144227292,-0.149158915681438,-0.173477798583047,-0.181124775120053,-0.137716425990865,-0.063864231447043,-0.108073918322266,-0.122167464196193,-0.0581246618521881,-0.144372664501445,0,0.212908211035256,0.0814523015188805,0.112202063735878,0.183402414017552,0.0543213546018246,0.0862077523854776,0.132825437865306,0.0919542383248155,0.392662759974475,0.146478237794826,0.0202587108458892,0.0228517689258142,0.0525539701916248,0.0465542484838845,-0.00821653464357672,0.0199590819014709,0.0676609653202521,0.191600807504667,0.0175136313231025,0.0826736887074351,0.0092281667463006,-0.0100305182200982,-0.0927510188185344,-0.101584364631399,0.00793092756004277,0.0820373180659,0.0277362178368099,0.225146283562825,0.109714575643236,0.0704654421214064
"10",10,0.733975569254903,0.0108552340199376,0.552252417934862,-0.0194142596309259,0,-0.118054468973006,-0.0982907243001168,-0.142136879637704,-0.0305075510873602,-0.1210805502578,-0.147370845837908,-0.154463813594799,-0.0975299219890182,-0.407086675197184,-0.121302620367589,-0.0522083596485862,-0.104675081388922,-0.138230609539279,-0.034569473008619,-0.219168412618605,-0.148114261218037,-0.100485603576985,-0.0144210395652201,-0.0751042559774073,-0.137487245349024,-0.155832416022212,-0.151662191674302,-0.172385606090602,-0.197577277417206,-0.0987087137288169,-0.0184833379833471,-0.0962481423635898,-0.145704763749481,-0.0481156213237755,-0.143148780289324,0,0.168803778214194,0.0815532444036827,0.124279814468205,0.187375267208783,0.0351520596886191,0.0869436421200745,0.126779653121242,0.0976309429400618,0.363125258488336,0.114675795789456,-0.0098964249136143,0.0186776882289151,0.0705656525088851,0.0487713111892671,-0.00560064950615721,0.0956715298597323,0.0941477073851945,0.169511552768356,0.0164369212714933,0.142712342123431,0.0661403762535042,0.00855721878533386,-0.107726817982423,-0.0821119625569001,0.0159625218322845,0.109866279917942,0.0394155733437784,0.197973829202841,0.134875993217863,0.0621312933834748
