"","iteration","beta0","beta1","beta2","beta3","beta4.1.","beta4.2.","beta4.3.","beta4.4.","beta4.5.","beta4.6.","beta4.7.","beta4.8.","beta4.9.","beta4.10.","beta4.11.","beta4.12.","beta4.13.","beta4.14.","beta4.15.","beta4.16.","beta4.17.","beta4.18.","beta4.19.","beta4.20.","beta4.21.","beta4.22.","beta4.23.","beta4.24.","beta4.25.","beta4.26.","beta4.27.","beta4.28.","beta4.29.","beta4.30.","beta4.31.","beta5.1.","beta5.2.","beta5.3.","beta5.4.","beta5.5.","beta5.6.","beta5.7.","beta5.8.","beta5.9.","beta5.10.","beta5.11.","beta5.12.","beta5.13.","beta5.14.","beta5.15.","beta5.16.","beta5.17.","beta5.18.","beta5.19.","beta5.20.","beta5.21.","beta5.22.","beta5.23.","beta5.24.","beta5.25.","beta5.26.","beta5.27.","beta5.28.","beta5.29.","beta5.30.","beta5.31."
"11",11,1.16414694330619,0.012911089653806,1.0040732554812,-0.000243268882815165,0,-0.105722261474046,-0.147113886947844,-0.146513185536183,-0.0621150486315636,-0.119567957458987,-0.147603355080729,-0.156726853547352,-0.0510780904879983,-0.316068334686117,-0.15758439486973,-0.103027856627562,-0.089474385756758,-0.152429202395045,-0.0719412778211307,-0.175007069858397,-0.142147785342325,-0.168948857136833,-0.0603455324829196,-0.0824950724105162,-0.0785963502738843,-0.145866718232451,-0.129772903197199,-0.141315085623483,-0.161225010863343,-0.146518037889283,-0.0214440117352021,-0.115568292777397,-0.140747225048129,-0.0448927428704054,-0.145474366132676,0,0.143410907012517,0.0327960508743212,0.111267719664586,0.154184993870984,0.0112972105620394,0.0435008571678193,0.0626672062361143,0.0357835619777998,0.324856884862547,0.133296401825185,-0.109673157677182,-0.0408236428615781,0.0387319248162053,-0.0318970315106573,-0.0193409983912764,0.0331995945022143,0.0484513844739289,0.152292709973349,-0.0965872009618872,0.040423729044532,-0.0483700567710144,-0.0402194139902703,-0.0998577139680674,-0.15517910156862,-0.058673463902611,0.0664870690876973,-0.038048852377308,0.203799852221221,0.0953746782978317,0.093441329508901
"12",12,1.16244788352692,0.012554331254029,1.0024752083738,0.00414550443576359,0,-0.168794361342039,-0.1273706658973,-0.164182155706567,-0.0269160088680715,-0.109508653359462,-0.121547567241269,-0.145322590951061,-0.0844940885037865,-0.324806440315767,-0.116033266755268,-0.134321502753266,-0.0983979898724523,-0.151744601363506,-0.034281903627808,-0.23182929459241,-0.166910541672346,-0.135215253071245,-0.0853259519134726,-0.0820575220103444,-0.0598591650341117,-0.134355518526851,-0.131619299477185,-0.139746933189302,-0.148972056652974,-0.15508623387106,-0.025269563504915,-0.139595139077327,-0.128565534559125,-0.0674043577350709,-0.0970642523916907,0,0.165146123330102,0.041630634034777,0.123732800076066,0.19360082429226,0.0356620600387259,0.0485522888363753,0.0541236238553501,0.0218886079838021,0.334020676252828,0.135218591084082,-0.0726341139292551,-0.01730624586343,0.0574824755417407,-0.0335843616901655,-0.0620585258960757,-5.43535773224572e-05,0.0405470668337085,0.167405329590047,-0.106139297217574,0.058825944346895,-0.0372831995567227,-0.0450850256663339,-0.111954839527887,-0.131199079892946,-0.0659518748075954,0.0701243851850889,-0.0555896208557287,0.190799274212519,0.112975613506036,0.104264786401929
"13",13,1.1543390486887,0.0137445290384963,0.992186530393139,0.00155073023192638,0,-0.158654656308501,-0.13219837772178,-0.100928892442458,-0.0250184565462169,-0.133688568815909,-0.118011448752373,-0.132622096620938,-0.0593627128709829,-0.332913399979147,-0.107351043987368,-0.121590327637762,-0.121891991619967,-0.132664095667391,-0.0625073091199366,-0.225672919081398,-0.156640704313764,-0.136324361726935,-0.0733571466565022,-0.0375496620098017,-0.041502665787133,-0.146010459552733,-0.14221704398145,-0.137162400869917,-0.155577909748435,-0.155782364795799,-0.0354676244287769,-0.0891868420157908,-0.1142191087969,-0.0811296395749017,-0.107263912428889,0,0.130431564531683,-0.0275156071132961,0.0949546483850172,0.192677559202141,0.0522699607588281,0.0413293006036047,0.0643839272860907,0.128215502526765,0.320589559066904,0.159691226735818,-0.0434268143051979,0.0354757182384367,0.0406955677334413,0.00518520994088564,-0.0523200613861091,0.0310610057388692,0.0603677930331693,0.196070976596812,-0.110111213694649,0.0574755667347134,-0.0596229108951918,-0.0519256669362895,-0.104409745330024,-0.112494602503066,-0.0642051675245481,0.0665220167626814,-0.00837407682473231,0.190902951793647,0.116531799288242,0.0968699771688364
"14",14,1.15488730692761,0.0136278035197566,0.994590149979574,0.00250441548916038,0,-0.136783480388489,-0.127756367517277,-0.15611667177529,-0.0329198817588825,-0.166038699132258,-0.139413629227605,-0.136259577719423,-0.0827821189235355,-0.263853835268477,-0.0765136171839989,-0.115920504222165,-0.129106234978988,-0.168095660198817,-0.0657245431136167,-0.21560664798623,-0.124724700780041,-0.146742011014016,-0.0932685414366497,-0.0549410737011647,-0.0635989529355752,-0.168552556565148,-0.125184709674983,-0.147863715012956,-0.133650764311723,-0.14554849048478,-0.0608865610726916,-0.106236473866653,-0.111785275860295,-0.05557536276913,-0.118336742412745,0,0.15011509145467,-0.0355663321743816,0.140129829592603,0.236424800786175,0.0222244820490799,0.0338283045151406,0.0894776256078189,0.0290029298851924,0.301690100687787,0.134085801000367,-0.0476483043731593,0.0299277414228354,0.0565684483615061,0.0221499249072152,0.0273896835850154,0.0309040935813179,0.0366061609106769,0.143983118279816,-0.0975836543620808,0.0601515885687723,-0.0546937494086931,-0.0454046579259589,-0.123425491758772,-0.111184589157079,-0.00907053222773385,0.0618543802755149,-0.0439018318447628,0.198227769794531,0.118191302356046,0.109812791240174
"15",15,1.15797017928518,0.0151954065535559,0.990532923746412,0.00391349047366455,0,-0.133448908103647,-0.133634616128293,-0.12303391739612,-0.0279104759381933,-0.142599768860211,-0.116085225388846,-0.163787969381903,-0.101142615294476,-0.299656791236456,-0.142519471071059,-0.20532147573102,-0.112489432771546,-0.168362486111165,-0.0691928951734467,-0.195242995738547,-0.135845012622065,-0.16429299544223,-0.0902609467473852,-0.0399161563359718,-0.0752845229635467,-0.168124338849661,-0.147627577533452,-0.115230564394886,-0.165557035237463,-0.150045131605004,-0.0637593984735365,-0.129815182082937,-0.184809072676215,-0.0727191298752972,-0.143173228803498,0,0.145123844370487,0.00244406954713131,0.114131991611403,0.233892171341612,0.0397125286380884,0.0624091987295814,0.065601401687896,0.0657220290402268,0.30615950787925,0.157083191598488,0.0378623409104799,-0.0106431354062892,0.0406186208347259,-0.0247431322896518,-0.0575794756215473,0.0165897998638461,0.107085480157625,0.160935729509898,-0.0611910397026552,0.0739733201556814,-0.00932523381748961,-0.0197814131223334,-0.114631230893441,-0.132235946501275,-0.0195736651839704,0.0722776643637692,0.00628682133434878,0.193244406564903,0.0904496083937673,0.0718617852862118
"16",16,1.16991041315749,0.0141876644398105,0.989241124163891,0.00253841929394447,0,-0.138534536500193,-0.161322166744407,-0.1154830139922,-0.0266644596920614,-0.125233270900655,-0.175787818872347,-0.172282744753851,-0.0802998963969181,-0.301122710316797,-0.129479259776259,-0.264862077324964,-0.0974314648695124,-0.167320583965464,-0.0920247410529326,-0.227346413884643,-0.197461984558403,-0.122564825678778,-0.0801541709479547,-0.0455360555571912,-0.11970358363846,-0.190070378750855,-0.14957123839006,-0.163220468447198,-0.150345878228569,-0.154458140587635,-0.0889594824324257,-0.140266963776145,-0.132191504360998,-0.0284495863032288,-0.152727636174077,0,0.117231709564885,-0.00925640905750701,0.0647037875837996,0.166387872942086,0.033117498884166,0.087743352932509,0.0921983073391991,0.100033256631483,0.317767326875652,0.120965517171984,-0.00274221768866559,-0.0420065602243859,0.0674227440678221,0.0183258306514183,-0.036877348076138,0.0270183292048786,0.0485486112613795,0.17233182234394,-0.0522241518993617,0.0910795815880926,-0.000223468382605795,-0.0603976147555707,-0.147762219939274,-0.123893434228792,-0.0877397078348694,0.0464922594491784,-0.0402459179212418,0.208124899686925,0.127612724228906,0.123017684331289
"17",17,1.1712220027576,0.0142905534294933,0.994456687095861,-0.000442815072106056,0,-0.123893533994245,-0.163501499855174,-0.119735344484665,-0.0858549270867764,-0.151976235706913,-0.140387679332988,-0.194968522737195,-0.124692061914105,-0.274722299797158,-0.0869656976719658,-0.207981814973711,-0.0999306595108873,-0.177855557868095,-0.0573235964110871,-0.196766599551646,-0.139298870997661,-0.123434257961345,-0.0672976782763325,-0.0428802349606369,-0.08798393895725,-0.183001061821433,-0.15342633932541,-0.133767100323997,-0.146827694997104,-0.0914334870320186,-0.055497063425888,-0.129680246385737,-0.127223620277571,-0.0306311308277412,-0.169100706212271,0,0.131951708265579,0.00686917455709819,0.139754734774619,0.220403027035218,0.0531932100934604,0.0552428157264535,0.0932094384006787,0.101209647982537,0.325820693830703,0.127903391564223,-0.0906942705318123,0.0187071865084547,0.0674023140577839,0.0284341001183777,-0.0350020399143664,0.0405197273335344,0.0701922542331753,0.208443989822622,-0.052412404066681,0.0603022465865939,0.00399197360817757,-0.0302277241981814,-0.0907189317661956,-0.125466501929833,-0.088415623848465,0.0739194843115325,-0.0216893335433624,0.19786922082935,0.119041488635335,0.0799920330804048
"18",18,1.16946682985463,0.00873606505423199,0.987542632275877,0.00134005529955926,0,-0.118349935772754,-0.149540100662317,-0.122861323789098,-0.0667241667515309,-0.121205261609934,-0.141666846550739,-0.165919639299229,-0.0772458413982322,-0.278158284593879,-0.145397297533632,-0.1763431800698,-0.111569748501162,-0.164744668841708,-0.0702928176620886,-0.230599641417759,-0.170793803882009,-0.136501969407209,-0.065086751162386,-0.0396939835078539,-0.0649745470198035,-0.183428033451998,-0.173297362755171,-0.169093553142456,-0.128519422279981,-0.144782862476712,-0.056876278859039,-0.110313361491837,-0.155322438071805,-0.0421203296195349,-0.104850349409168,0,0.15438988321855,-0.0152285228625655,0.1438144440903,0.216236372593185,0.0132664245899693,0.0362334570325967,0.0732710731482592,0.0677627982616642,0.293898250269639,0.14922639438115,-0.0676408446087231,0.00144753437617293,0.0699520023184565,0.0132030090447509,-0.0354490832119327,0.0410373813738115,0.0436168390732314,0.189098164779201,-0.0606023566088496,0.0896136620357961,-0.00884854629933123,-0.0354663623725802,-0.08012509535298,-0.159136401871837,-0.0661862764598531,0.0766013929616982,-9.03847409063421e-06,0.200942379550047,0.119072254417959,0.103195141095864
"19",19,1.17291942522843,0.0110902699658143,0.987137099612016,0.00227489195584239,0,-0.177801505731141,-0.146094497056597,-0.204752930698276,-0.083404982560781,-0.162152939198231,-0.15411741542474,-0.158964723397315,-0.101844632522676,-0.300953759692181,-0.145814831887076,-0.189724411893662,-0.115445220292127,-0.153967005037692,-0.0974530891107861,-0.230097121072793,-0.185548807048588,-0.0994022104319012,-0.0415096726327374,-0.0851142466106867,-0.124242404102836,-0.12841388317504,-0.17773968241953,-0.172242863793047,-0.189892981006285,-0.11138066735349,-0.0498540670062103,-0.132638717466819,-0.13074448334716,-0.0655175368278086,-0.107206685040543,0,0.185554547476914,0.0121208023215653,0.149579194284775,0.213581177649786,0.0206357524973316,0.0945588565768392,0.090663185107965,0.0681204712440648,0.320046093740087,0.112636083038275,-0.0299274850892753,-0.0414279138717854,0.0476075057683863,0.0145852090971715,-0.00742256301107913,0.0366264873262452,0.0386746473896103,0.189095802944299,-0.0199334043657745,0.0305465150438455,0.0264541481881868,-0.020626627175458,-0.111368214521711,-0.151136757489783,-0.0315079475121462,0.0924027703582661,-0.00291479228524677,0.180369250215402,0.137900689056418,0.10296934488631
"20",20,1.18239450292005,0.0112875949177969,0.98728395003056,0.00440420073067759,0,-0.188184698287845,-0.136356828527627,-0.214238074716263,-0.0852335439456866,-0.165572727866466,-0.1633278211372,-0.149177478461441,-0.0965916006205443,-0.338614477784231,-0.145720695676961,-0.170026875366033,-0.152758890869043,-0.122750240108603,-0.0858724677654353,-0.253310829704655,-0.164302683386978,-0.148077004946748,-0.0477393985554056,-0.0935526162903414,-0.124339489705096,-0.187205353608229,-0.17262965848154,-0.199061695413839,-0.153554098846479,-0.120873912663143,-0.0704084177724046,-0.140303711802537,-0.137501966862502,-0.096435820488711,-0.112682267694675,0,0.162817000155212,-0.00548262926661829,0.163969009871583,0.199093177446194,0.0577060628160698,0.0732232870064661,0.0952408856857912,0.101882987176166,0.345399551270481,0.127338466833997,0.010730814911775,-0.00125515197650469,0.0229571004381375,0.0202158999072773,-0.0297508192879778,0.0193879654322492,0.0946140260395369,0.166135576998937,-0.0322732574691871,0.0823038414804561,-0.00707911503226773,-0.0353035195739644,-0.112968536903399,-0.166098024645551,-0.0398826609903251,0.0836794860092081,-0.0332002497993397,0.175066155064146,0.114147845753068,0.105556449901233
