"","iteration","beta0","beta1","beta2","beta3","beta4.1.","beta4.2.","beta4.3.","beta4.4.","beta4.5.","beta4.6.","beta4.7.","beta4.8.","beta4.9.","beta4.10.","beta4.11.","beta4.12.","beta4.13.","beta4.14.","beta4.15.","beta4.16.","beta4.17.","beta4.18.","beta4.19.","beta4.20.","beta4.21.","beta4.22.","beta4.23.","beta4.24.","beta4.25.","beta4.26.","beta4.27.","beta4.28.","beta4.29.","beta4.30.","beta4.31.","beta5.1.","beta5.2.","beta5.3.","beta5.4.","beta5.5.","beta5.6.","beta5.7.","beta5.8.","beta5.9.","beta5.10.","beta5.11.","beta5.12.","beta5.13.","beta5.14.","beta5.15.","beta5.16.","beta5.17.","beta5.18.","beta5.19.","beta5.20.","beta5.21.","beta5.22.","beta5.23.","beta5.24.","beta5.25.","beta5.26.","beta5.27.","beta5.28.","beta5.29.","beta5.30.","beta5.31."
"1",1,0.432792451213303,0.0160585551672317,0.245701170675005,-0.0164831477868729,0,-0.124430301113925,-0.066438550756202,-0.155159074366594,-0.0554763906823649,-0.0954922027773726,-0.0987087512065268,-0.128901742154636,-0.1464495441576,-0.376714864110701,-0.135950132075701,-0.0992469766493491,-0.109939037241428,-0.175288915041998,-0.0764840595765876,-0.18561023065798,-0.13850813770822,-0.178813576847806,-0.0341449950706493,-0.0290205137103167,-0.109127820550227,-0.0859417368405894,-0.180625760884909,-0.169892980291527,-0.230770805902534,-0.139944058460498,-0.0776910505189513,-0.136342023200675,-0.111160622937062,-0.15001348713542,-0.14741638672547,0,0.062454591475215,0.0605214121059399,0.091064489831073,0.185237564572939,-0.0312282645797614,0.0635680997768949,0.119469232295289,0.0314725052511066,0.308046196942698,0.0808729818319838,-0.143827914933274,0.0621002320250439,0.1051690215325,-0.0942725550821553,-0.0632443737422671,-0.0011439299776774,0.0288246990675997,0.135150765912253,-0.0465805122529627,0.0433392695406173,-0.0284861226221736,0.00995652307322267,-0.121239904668892,-0.176193268285334,-0.00668445162998119,-0.0520010117975375,-0.0615880032654052,0.127713599558568,0.11029113950485,0.069744957758828
"2",2,0.432742947322974,0.0158496127085525,0.251529544506807,-0.0164065795174307,0,-0.176333148802808,-0.0257777799055279,-0.179477953852641,-0.0779793768962467,-0.0875627606938561,-0.10168650921413,-0.103974508243867,-0.17441460636121,-0.282243282599732,-0.119267845972823,-0.179011491707297,-0.0797941524536797,-0.191185496227199,-0.0379090415323103,-0.226775775579854,-0.0938292525092133,-0.177104131826361,-0.113451330112682,-0.0421412543765958,-0.109125774047692,-0.102752543919322,-0.186320992680516,-0.198978900798215,-0.17525936354787,-0.187995798645017,-0.0865269596997243,-0.155037130909681,-0.105521713658647,-0.134996594413407,-0.174586437930812,0,0.0242587073179961,0.0479771199551911,0.0719676944657808,0.177133422826854,-0.0423035615179939,0.0807031698314637,0.119637114072197,-0.0728827843609035,0.265943191757607,0.136092971938992,-0.170642874836068,-0.0149979090497465,0.0596649280847174,-0.136845531579634,-0.116241128463102,-0.0204274797925037,-0.0307525802810181,0.168735090417451,-0.0740632010676833,0.0463731447539704,-0.02952247129247,-0.150843711579038,-0.0853131352905508,-0.179787714726244,0.00996916679641589,-0.0316988692065525,-0.106669226475362,0.116401259596627,0.151585698223627,0.0334420368219261
"3",3,0.433544229578736,0.0155267748128484,0.253859039120444,-0.015157060067842,0,-0.1161533692702,-0.0928719232609113,-0.165855383178607,-0.0866967217354144,-0.0712546569481638,-0.11714202630991,-0.125477782334503,-0.10465606372427,-0.327339767390718,-0.134922220072252,-0.181510746072425,-0.0748210431633842,-0.183792389704099,-0.084047787629092,-0.255871461877297,-0.0708236195127115,-0.118172501574831,-0.0322691812282061,-0.107395816736465,-0.109332188446416,-0.080086172806086,-0.157752857021295,-0.195641137636769,-0.19901104187359,-0.108103990298822,-0.106758226855233,-0.13365900972056,-0.197680450666214,-0.111982804148625,-0.155783090256961,0,0.0958693051451802,0.0710099342959485,0.0682977741387191,0.165896584532111,-0.0347432434035861,0.110950566081893,0.0353008567791304,-0.0606507426721491,0.340602396245153,0.105636376679813,-0.0313468960155822,-0.0542756986061558,0.0534962566828403,-0.0110215419195051,-0.0593675349287856,-0.0809013294279712,0.0289487511189576,0.18821216149516,-0.074111895261242,0.088260234655135,-0.0300918976394871,-0.129386407949157,-0.1353558080755,-0.0800373354135887,-0.109834794836588,0.00958112413532861,-0.036328744734797,0.138436084067151,0.130969002645635,0.0441031122574442
"4",4,0.436693792674909,0.0160262041975019,0.253621636792909,-0.0163135254236348,0,-0.123712033764705,-0.0403447067871295,-0.172723696885421,-0.0922024627741621,-0.157131618207498,-0.09465155283904,-0.117088703821497,-0.220475116000168,-0.323765992998224,-0.13827150421147,-0.120081848712149,-0.0720815413514544,-0.217762832134416,-0.058382744878669,-0.237101759506398,-0.0804477505943992,-0.126299279025685,-0.0310824024815403,-0.0672247452425943,-0.112986262081542,-0.127132544420283,-0.193717500593377,-0.201550762440118,-0.200740178846684,-0.134499296159028,-0.096883653943996,-0.16286114633802,-0.166313574509464,-0.142406898945176,-0.191177609374517,0,0.0904850633884262,0.0260148868535365,0.0676667221673377,0.170861481188821,-0.0718124856216354,0.0805332928553429,0.102115904422294,0.045793786033304,0.334455331376954,0.0781809505635187,-0.141918327068904,0.0446884294972842,0.0318087638709856,-0.0299539115739353,-0.01920185264419,-0.0869005404961814,0.014993192278303,0.180344346306965,-0.0692334700134163,0.0493689655578694,-0.0288905082216257,-0.12915633930819,-0.134116294519839,-0.12233804574631,-0.105530009399355,0.0446555598097314,-0.0933693141182666,0.08195266087691,0.135033807903761,0.0678239753942039
"5",5,0.443910802165098,0.0164460563393219,0.258218485327007,-0.0168985301767735,0,-0.198458560280328,-0.0798359162200382,-0.197622351788412,-0.0379984088476637,-0.0568046569337475,-0.176568504274483,-0.149247084393483,-0.182888380961858,-0.349525366214657,-0.1187107683324,-0.156807296484802,-0.0909776889039626,-0.209465209166867,-0.1282595252461,-0.232249739292899,-0.144821913242587,-0.165847095552096,-0.0516688171686863,-0.0782620717747568,-0.136679539574861,-0.146440422170053,-0.165832658715227,-0.159785163267146,-0.245761508005212,-0.195135345792249,-0.110594288995566,-0.185919229569552,-0.145858023744607,-0.166036063366504,-0.170439251157788,0,0.144423703643712,0.0612395922232052,0.0600327137646751,0.177828752741838,0.00863286953899005,0.0719634045105196,0.0600346704491807,0.0599496135743233,0.291473931381976,0.0991061976068486,-0.0609843646257399,-0.051598238857877,0.0383035385563378,-0.102192053096502,-0.139245839102653,-0.0790699057181989,0.0275106425559995,0.168485090815483,-0.0348988969238768,0.0502861558650597,-0.0330140155080508,-0.0393484967949037,-0.105233910108511,-0.126145965210856,-0.011474299316148,-0.00792984644345456,0.0159351090684767,0.0789210131643511,0.120900327135653,0.0552651601437344
"6",6,0.459504347103974,0.0147958841872911,0.253039081604923,-0.0173643725837282,0,-0.188823394299088,-0.130765551389325,-0.220948188712725,-0.0356553301954462,-0.0798920486666962,-0.148742447343895,-0.136581846244735,-0.195121100210667,-0.309706516076298,-0.118605401651174,-0.173721981094197,-0.0925920063908405,-0.159388140525916,-0.142830540248439,-0.213597297520917,-0.127314586778734,-0.14559482145037,-0.110083945529597,-0.0824388396498489,-0.0859809035684037,-0.162271634478354,-0.193819446677771,-0.214750288873889,-0.262382543839167,-0.165649096579517,-0.0520240328298866,-0.160671590774542,-0.150401596194109,-0.187980403865409,-0.186393988686947,0,0.137697407151223,0.024557312493448,0.0361230386315018,0.153396897550096,-0.00463093381378399,0.0564010005107958,0.0847276170718491,0.00366547195975487,0.366137161419951,0.112421859330869,-0.0548638229431785,-0.0280822496934874,0.03146540200996,-0.112928388022841,-0.0120588191030567,0.00107466203165299,0.0504820113406771,0.197421761596625,-0.0788394192849805,0.0841577205358046,-0.0350706789228436,-0.0537879367101151,-0.0857742362015409,-0.112559761084117,-0.0763681946346867,0.0568258547615411,-0.000977547878100393,0.0538062282581347,0.177664778510882,0.0602639735615611
"7",7,0.463991512041196,0.0142059867551111,0.248000967067761,-0.0206079520994324,0,-0.175188241035584,-0.0436998302733437,-0.217707649509944,-0.0419578877365712,-0.134338980461944,-0.100997103971821,-0.179359601074913,-0.142224003959313,-0.346779339039897,-0.160036974905327,-0.0973757851452307,-0.132368692421313,-0.192845893102513,-0.0976605441799694,-0.207924811253905,-0.139231689049149,-0.178932484826579,-0.104074358856457,-0.0393437439664768,-0.143997839494284,-0.153095687970405,-0.180165569233199,-0.227567509810789,-0.228195313153732,-0.193137718652748,-0.062746458020786,-0.219064124218698,-0.167946530028657,-0.142608828357701,-0.252728641247735,0,0.144252661894121,0.0788107405274027,0.0616661899843733,0.192598859049503,-0.0470555060347867,0.0598842961204968,0.12017558637362,0.0589280250366042,0.329351754261234,0.118889319908413,-0.0256009263523234,-0.00391963749569302,0.0719534051198266,-0.0868345239980226,-0.0170573953714663,0.0156739336404176,0.115249022990577,0.173810175958558,-0.0830016628936937,0.110061131178145,-0.0129108891489657,-0.00422593938944975,-0.0630592241539791,-0.058847903216773,0.00379254958781428,0.0262861584725815,0.0245073611658032,0.146541766388396,0.14819621452155,0.0308177918000144
"8",8,0.456094620500306,0.0136982592122883,0.248259462578389,-0.0201838589681503,0,-0.192433649772717,-0.0386213442118886,-0.179600895722638,-0.0409444427660595,-0.0916898262441558,-0.109211141564492,-0.194861710826556,-0.143228996570987,-0.384434310337941,-0.170250783147001,-0.0812283716607527,-0.10013145265263,-0.171113527140339,-0.0733512724953609,-0.233872046639225,-0.126813649013388,-0.186917252828287,-0.106237827409342,-0.0866593585362297,-0.13508284084896,-0.123226085220955,-0.195425292424984,-0.266902092959608,-0.191502796621851,-0.146540798936516,-0.0895991054284649,-0.188348158169035,-0.184735277179383,-0.155053666321446,-0.226219592406143,0,0.124856886443694,0.0540629092166957,0.133488175187844,0.205446142296937,-0.0588912774324555,0.0933413123115759,0.119268395703661,0.0341275281202603,0.326495790866464,0.0963671026909753,-0.0310184682279655,-0.00517166640551088,0.0962474622188271,-0.0348399788778524,-0.11716523984026,-0.0279128480203106,-0.0203533267333764,0.163982314132846,-0.0799947765081051,0.0873033004035921,0.052159096304523,-0.00545052458745499,-0.119712551804165,-0.0985031163209936,-0.00665107073493682,0.161234666810744,-0.00480385597617397,0.183254210383645,0.18082998903662,0.0112091901434762
"9",9,0.457864082086798,0.0144659271715748,0.246055721847776,-0.0226189436961561,0,-0.129849927830941,-0.120896335264098,-0.207527021691378,-0.036274236888328,-0.085413161634812,-0.118876049935102,-0.112093272575611,-0.166976880716952,-0.258524543033029,-0.173036884884938,-0.0464914525844921,-0.11082765413354,-0.195341174661819,-0.0948518376296864,-0.191602650852668,-0.0494920691125786,-0.203883760117023,-0.0591820223958611,-0.100042485621493,-0.0945194761609314,-0.132680846384584,-0.167387172017711,-0.124557925464212,-0.262124842576009,-0.153094797164903,-0.0976458903327963,-0.137989265932813,-0.22754513350841,-0.156937780096906,-0.134668266598454,0,0.0650632154303274,0.0646220302185227,0.165000078023705,0.212776746414584,0.00978913267825021,0.0861847007785309,0.111267229043967,0.0755859148101801,0.349237805891987,0.137915071985831,0.0283275257488123,0.0303402414056731,0.0482840807162591,-0.0373314259548581,-0.129705548734974,-0.0137988453359467,0.0348392823711477,0.183319519298134,0.0177212232499254,0.0949250958326079,0.0318888986208016,0.0327492373635622,-0.101367442443097,-0.142689548056527,-0.054341553042373,0.169384764002512,-0.0325700586461025,0.0693534269146178,0.134281608239841,0.000335236410060363
"10",10,0.446384778441418,0.0130073733268551,0.242303407872829,-0.0197466317976504,0,-0.160186495788052,-0.1174559869627,-0.165793016197238,-0.0285832479954951,-0.0990384018978711,-0.0971789637371954,-0.187785678665114,-0.127068879217614,-0.379187439270148,-0.163539240376728,-0.0701879914465897,-0.10953223980069,-0.214595031912054,-0.0401227962388664,-0.23558358304412,-0.0597459626901402,-0.194624669080798,-0.0582572975712476,-0.0880207873978031,-0.0877545463899792,-0.106548835121546,-0.201017762817433,-0.108113250830085,-0.25983874414292,-0.158732324165291,-0.100866253255017,-0.0991515772478984,-0.170545159023822,-0.120138474543211,-0.174304426212468,0,0.0526788881750168,0.0606138823605589,0.105872058252071,0.226634741404897,0.00513931634627042,0.116378548217064,0.107808929674813,0.0324689081042492,0.328642151475332,0.0517071218495382,0.0243758522360824,0.0179978400240336,0.0281333327084236,-0.0764422489796506,-0.0432144799566629,-0.0273041361884296,0.0509603399067655,0.1645368191598,0.0174243543184647,0.0934971174183414,-0.0203273132973631,-0.090120176149209,-0.101455143150278,-0.179196861111153,0.00896103718220516,-0.0163824600185265,-0.0514666376413828,0.107038695116219,0.1051023664413,0.0208878062363889
