"","iteration","beta0","beta1","beta2","beta3","beta4.1.","beta4.2.","beta4.3.","beta4.4.","beta4.5.","beta4.6.","beta4.7.","beta4.8.","beta4.9.","beta4.10.","beta4.11.","beta4.12.","beta4.13.","beta4.14.","beta4.15.","beta4.16.","beta4.17.","beta4.18.","beta4.19.","beta4.20.","beta4.21.","beta4.22.","beta4.23.","beta4.24.","beta4.25.","beta4.26.","beta4.27.","beta4.28.","beta4.29.","beta4.30.","beta4.31.","beta5.1.","beta5.2.","beta5.3.","beta5.4.","beta5.5.","beta5.6.","beta5.7.","beta5.8.","beta5.9.","beta5.10.","beta5.11.","beta5.12.","beta5.13.","beta5.14.","beta5.15.","beta5.16.","beta5.17.","beta5.18.","beta5.19.","beta5.20.","beta5.21.","beta5.22.","beta5.23.","beta5.24.","beta5.25.","beta5.26.","beta5.27.","beta5.28.","beta5.29.","beta5.30.","beta5.31."
"1",1,1.27451023990832,0.0174768392641199,1.14497963852896,0.00667192693945252,0,-0.0834532912706409,-0.102527397967387,-0.109459327534222,0.0386670161869033,-0.143833575295223,-0.126624527491047,-0.151219903415824,-0.0403272513022154,-0.274137823221178,-0.0700406963148129,-0.0815815437502087,-0.0922835347024018,-0.109065756466146,-0.00138614905080023,-0.196621734031827,-0.106106645512778,-0.0956394587647966,-0.00602202725506724,-0.0329388513632357,-0.0631794164457106,-0.139361552538595,-0.139612437117665,-0.150739817882006,-0.100923894528627,-0.115661475889196,-0.0185787308945106,-0.0551047544242042,-0.0617076215207513,-0.044027249230552,-0.0559224217366007,0,0.127506733805641,0.00896964356523504,0.118166459583609,0.19406375148922,0.0533379943570679,0.0883890958654259,0.101896536355115,0.0923073852902792,0.297021114404506,0.18750467910411,0.0043705785605873,-0.00707986813060681,0.0371419530840821,-0.0513583859079938,-0.0701487401965574,0.0388719299861506,0.102661562709631,0.149381593773311,-0.0242834773256629,0.0361371934806302,0.00065284475429811,-0.0598747017686302,-0.0812684783851455,-0.142423771415672,-0.0448304608918394,0.0550176478491578,0.00561276143952249,0.186540667209306,0.145813856167456,0.085668114344293
"2",2,1.28053396332774,0.0192072754431596,1.14409084381167,0.00834334678194831,0,-0.13436358136267,-0.104110244888096,-0.120129515063342,-0.00922420854886493,-0.12568641558943,-0.132597520055511,-0.177168618323198,-0.0460725154141865,-0.232425071896703,-0.0808701644860138,-0.112804390575493,-0.0825973229995489,-0.0993733849826129,-0.0135373322619268,-0.155724142592895,-0.102560481420728,-0.0516349495115884,-0.00636673675021544,-0.0185388389778485,-0.0637354208582149,-0.131669294164086,-0.135575599071177,-0.187481010029812,-0.109824432123781,-0.117678305684188,-0.0152882063149221,-0.0575309288892531,-0.0865365873219946,-0.0434562915045011,-0.133276403621551,0,0.121350675531425,0.00586546382218356,0.105096922885946,0.241682187400572,0.0538070022558497,0.0664593523826093,0.0897374101871949,0.0681870638238773,0.294780981042533,0.140110344994215,-0.0436401461997134,-0.00125637943895544,0.0488407623296651,0.0316014767142025,-0.0464100559470747,0.0689511287935412,0.104353995723311,0.194416638796871,-0.0680682252341144,0.0831548582331551,0.00502423702706369,-0.0600886433702186,-0.071754624272201,-0.0853197998143343,-0.0497085964182209,0.100643403323466,-0.0310778867773545,0.183044332289808,0.142487643663465,0.0888600156316351
"3",3,1.27755555996228,0.0204887361400369,1.14843848056662,0.00645114215655297,0,-0.152117799425581,-0.0894819074026344,-0.119766692844266,0.0245686617296654,-0.131430618559108,-0.0738121351830429,-0.165254315227945,-0.0460073633924925,-0.232944920014126,-0.0828277178853943,-0.243079190222953,-0.0799755139731312,-0.105778058992493,0.0148836662485889,-0.133250987993482,-0.0862303973748366,-0.0418767540488214,-0.0321582975151223,-0.0725767451378913,-0.0418772062511648,-0.110184457260911,-0.130510378449729,-0.184515380745071,-0.151276999149601,-0.118456843987255,-0.00540849887052696,-0.0628038041260512,-0.0738747838516585,-0.0423687994496142,-0.0678256809610329,0,0.105733396274025,0.0521195123713111,0.102632333987431,0.260624425151245,0.0419798167927193,0.0517736700393773,0.0621332124761583,0.0840958187298813,0.322722601028201,0.160917685667036,-0.0462261295965097,-0.0123425515154699,0.0472076878178897,0.0240702165066764,-0.0883989733914817,0.0447346169434089,0.100457655078052,0.175040261708195,-0.0709948524809114,0.0459808599656016,0.00204430955511339,-0.0499140711346903,-0.0600148208661671,-0.139273864278115,-0.0371370261173333,0.0282458936769338,-0.0181255608814046,0.211057269811809,0.139376993234052,0.0860049111826026
"4",4,1.27683056962917,0.0196188006538517,1.14787653495776,0.0045028295602108,0,-0.109721103180676,-0.101361946542378,-0.102842353282082,0.0214497654370121,-0.153832553587963,-0.0821583043324883,-0.163744039342299,-0.0495217625221141,-0.234104350503659,-0.0434392440816308,-0.235890897951481,-0.106200841582809,-0.137760939769193,0.0181641695767728,-0.150280309872859,-0.124312941209114,-0.160732373126692,-0.0427754834105669,-0.0781922905654556,-0.0637335393255437,-0.116013987834773,-0.100707733558452,-0.14752549403031,-0.133597107656307,-0.123501260507653,0.0307546945152172,-0.0623085681193074,-0.0647848667763294,-0.0428711617613158,-0.067997448207683,0,0.111189830730776,0.0175956507074134,0.0923466183836243,0.205151620658165,0.0302365069838835,0.0388707883666023,0.0576722210420196,0.0790929946740305,0.355599811593161,0.169561186013549,-0.0598306790570205,0.0143974632887721,0.0270583666446377,0.0110511892950252,-0.0670862272626809,0.0869123172528363,0.0699900129842484,0.171582715099514,-0.0654886629179975,0.083450713539318,-0.00436959106086158,-0.0518759392072988,-0.0320332971159515,-0.1151325520359,-0.0690213231679178,0.0444445601780354,-0.00286127935591945,0.231275011930879,0.112608529905917,0.0742788375240235
"5",5,1.27918849425938,0.0196534727212039,1.15037788054657,0.00329983405929218,0,-0.108789477923992,-0.0928065582041116,-0.115961226338234,0.0253313162004264,-0.155224839382383,-0.131368209386467,-0.12419108601303,-0.0659372498424216,-0.247938447969857,-0.0635113697474953,-0.0904663513930078,-0.0789392807869821,-0.109979906212035,-0.0376064095462307,-0.150398966162535,-0.136634977322979,-0.127562210732864,0.0182054363763792,-0.0793928081712344,-0.0645088903436161,-0.0852065995149345,-0.155034023094807,-0.151341113012088,-0.128270302938681,-0.0662770470225288,0.0194047960895169,-0.0408599824930731,-0.0707327470907698,-0.0375954741560936,-0.0720511481008445,0,0.124396387985054,0.0322875428488514,0.0927954843633973,0.218654963746388,0.030910004051502,0.0721932508426065,0.0883196217141634,0.0674319097897744,0.366085943496451,0.161689923760535,-0.0639663065103,0.0335276287306906,0.0470474034498467,0.000666178980501538,-0.0427113295131354,0.0527354553763351,0.0588201744759081,0.171767650052973,-0.0548808741897778,0.0990266465569086,-0.00169944428812237,-0.0458948712436761,-0.111001049682923,-0.0789117090268829,-0.0699841935777632,0.0529274673105292,0.00409774122498485,0.212668327234376,0.16653432094116,0.105336035514312
"6",6,1.27763206100206,0.0176236996550883,1.15120110270749,0.0036346039125573,0,-0.117177712576677,-0.0797807245391165,-0.105956566653092,0.00752632693400989,-0.111760908381331,-0.0894939496573078,-0.144951254444647,-0.0360909002078971,-0.256264468745145,-0.0721780978272518,-0.137593732688212,-0.0819046875692257,-0.11520796957295,-0.0159125947250789,-0.15960761579334,-0.118829885243756,-0.0853078162000519,-0.0538743000272296,3.37448199962953e-05,-0.0792773686876268,-0.103409990801767,-0.133296937249209,-0.16512680319334,-0.0725017722895736,-0.108034029538271,-0.0444361927702759,-0.0385563479945032,-0.0346058582275758,-0.0471066945800362,-0.0923035092296406,0,0.158920408352667,0.000392136472372354,0.116760340381277,0.200796574885022,0.0247002252673658,0.0704294429251376,0.0690113957939927,0.0964687069069276,0.359860966036316,0.150516823111176,-0.0116834839826798,-0.0323380412960051,0.0586974192787799,0.00165692309113189,-0.105567156468544,0.0486224674786334,0.0617700571873319,0.168803516936042,-0.0148766031313798,0.0883543752770309,-0.0104494799970513,-0.0577252885925931,-0.0952916264442272,-0.1299174010603,-0.0645866586732115,0.0468459357090843,-0.0316861098385583,0.195191559985512,0.118548828494916,0.0838374493701097
"7",7,1.28139768149114,0.0204039518700569,1.15269753949629,0.00568530434951496,0,-0.124947509651765,-0.0938101969089008,-0.069701570083287,0.0108130481215677,-0.107108721258386,-0.103527864868808,-0.144347478228107,-0.035267448930305,-0.26324776124312,-0.0714381443419913,-0.188136890484609,-0.0869320716983962,-0.131869205381769,-0.00445466175134663,-0.201761911296693,-0.124195041335436,-0.0938117162655493,0.0132288755927079,-0.0706084413432375,-0.0785346421782556,-0.0955405322063452,-0.156847979137923,-0.174118453892099,-0.0684338227233413,-0.113318709570102,-0.0465418907945601,-0.0428718158117551,-0.0462641628503657,-0.0385011168610067,-0.0977596961584458,0,0.0980236358473508,0.0140112045415802,0.0951995580060844,0.251201080389885,0.0240159555170113,0.0708360510267659,0.0749731749158838,0.0919022142206988,0.350419253754614,0.13557807151265,-0.0434944997025367,-0.0351860600531371,0.00350077799215619,-0.0379774071620184,-0.0807099112338819,0.0763716596892444,0.0499705317250704,0.161638084271565,-0.0788578428680895,0.040673112183143,-0.000318596534563356,-0.0469519974135723,-0.116805882701025,-0.112473934939771,-0.0670699246779348,0.0622204886611165,-0.0215920513442726,0.209679880441366,0.145871770139211,0.0837524265655069
"8",8,1.28159299050506,0.0147356880438958,1.14827010222782,0.00739434671859347,0,-0.150324076286194,-0.0704374486410279,-0.148288915636285,0.00468598620655473,-0.126288277637495,-0.0949336713274853,-0.122663409179477,-0.0260998925177151,-0.264634625045184,-0.103715851324364,-0.166727795433883,-0.0680641441914804,-0.106374968459226,-0.00752911311271698,-0.225097042329313,-0.10758891300495,-0.0848286497894071,0.0177783986326921,-0.044967496852058,-0.0835212038337992,-0.0953130198800858,-0.143941356623868,-0.157514302941818,-0.152845298907298,-0.0775038529938298,0.0206804588183524,-0.0799066246473938,-0.0829917301715439,-0.00966338765757759,-0.0733256242839637,0,0.140463110841036,0.0198926971443054,0.0767470673087572,0.244341992365034,0.0427874600313192,0.0814943760762989,0.0773173048549275,0.08287731480815,0.27941068041281,0.121882589434612,0.0131465475486463,-0.0361542077872642,0.0529768914675607,-0.0207708990911621,-0.0757824261093822,0.0462422578081358,0.0592726967497548,0.184094212192738,-0.0415361516080912,0.0936830538646028,-0.00310548456128542,-0.0408984796746799,-0.088760926522928,-0.0937968407335351,-0.0768463629183864,0.0485041553937763,-0.0124295460837426,0.216020637596646,0.119669991723974,0.0540358894697219
"9",9,1.28343398609392,0.0150697017946608,1.15379582816883,0.00816768446681666,0,-0.109213949106972,-0.0747802747839268,-0.125731671051226,0.00932795726358752,-0.0935975901163055,-0.093557233579734,-0.149995041946445,0.0061391598615374,-0.230394009485184,-0.0411268614154313,-0.142944852581005,-0.0721054289931683,-0.0970069578269859,0.00512592195903927,-0.159631089387955,-0.0876694445923807,-0.0777660576417741,-0.006902792074497,-0.0774537129176049,-0.0391932286452672,-0.110961060808933,-0.107627018556423,-0.163654185845237,-0.0531783359997532,-0.0506720292502283,-0.0169039914946813,-0.0825774876391477,-0.0838407860948579,0.00148743834093226,-0.0891693021089314,0,0.14019893820387,0.0113496980408777,0.0883208976316079,0.174236255515959,0.0592851082441544,0.0608003514958136,0.0549327533007921,0.0811503483662578,0.314114969413028,0.131357520731677,-0.0211924014214622,-0.0511521545243,0.074774800693311,-0.0259010363328132,-0.127798647785293,0.0350606492755271,0.0758090533014321,0.175943770236052,-0.0625437496590223,0.078296596148323,0.00331452452712947,-0.0558921372575911,-0.0851958182212781,-0.103581780380302,-0.0877568308449811,0.0649367563522385,-0.0357979214929742,0.215647085488575,0.117275087268715,0.0788000715689633
"10",10,1.28311410966113,0.0150244832331009,1.15584616416772,0.00900521425444883,0,-0.114964871420164,-0.053336368549349,-0.131507442105244,0.0359869031667818,-0.113139835150329,-0.0986135987616409,-0.151230868550199,-0.0611412627708284,-0.226768470915737,-0.0961836870666371,-0.150435534528069,-0.112836095617305,-0.116104555365265,-0.0217436941285889,-0.190977569580781,-0.0782382145907618,-0.0931657054825759,-0.0524316121032419,-0.0229662751630583,-0.0306597596376316,-0.121716242020635,-0.105901984545444,-0.123115030984641,-0.0654840038395047,-0.0663841476953509,-0.00650859481506728,-0.0652071102048334,-0.0753939600195089,-0.00787031889134933,-0.0832153687799608,0,0.093340560172765,0.0174044781840659,0.0878258730630352,0.223756610277894,0.0229851008992275,0.0682511878171149,0.0831485407402374,0.0639894283235827,0.335391045146218,0.150239119449937,-0.0503922026506329,-0.046039832668227,0.00556600780195988,-0.0369066616371874,-0.131469092959826,0.032670383329535,0.026918275430378,0.149383473213711,-0.0826566212231268,0.0271966108363533,-0.026681854193327,-0.0358721125448833,-0.111221976498856,-0.103854590409556,-0.0658968918298114,0.0496861689237745,-0.0343243333210399,0.199290553835751,0.11899110206793,0.0833710025597093
