"","iteration","beta0","beta1","beta2","beta3","beta4.1.","beta4.2.","beta4.3.","beta4.4.","beta4.5.","beta4.6.","beta4.7.","beta4.8.","beta4.9.","beta4.10.","beta4.11.","beta4.12.","beta4.13.","beta4.14.","beta4.15.","beta4.16.","beta4.17.","beta4.18.","beta4.19.","beta4.20.","beta4.21.","beta4.22.","beta4.23.","beta4.24.","beta4.25.","beta4.26.","beta4.27.","beta4.28.","beta4.29.","beta4.30.","beta4.31.","beta5.1.","beta5.2.","beta5.3.","beta5.4.","beta5.5.","beta5.6.","beta5.7.","beta5.8.","beta5.9.","beta5.10.","beta5.11.","beta5.12.","beta5.13.","beta5.14.","beta5.15.","beta5.16.","beta5.17.","beta5.18.","beta5.19.","beta5.20.","beta5.21.","beta5.22.","beta5.23.","beta5.24.","beta5.25.","beta5.26.","beta5.27.","beta5.28.","beta5.29.","beta5.30.","beta5.31."
"1",1,-0.698673725095446,0.0152003700557997,-0.491790746981683,-0.229874751706091,0,0.0440650876997273,0.107760456333131,-0.154627321735458,0.0861929136659181,0.0474162712477827,0.0723174353439147,0.0570482489522226,-0.0276458555838737,-0.322131365089704,-0.0716829696904406,-0.0836265779165038,-0.0869002873362773,-0.116730353919497,-0.0442015158212425,-0.131577886612542,0.12708476220391,-0.0216265764326766,0.0314803120653871,0.053826727622568,0.0907405161823694,0.0575872069127901,0.0605280128234196,-0.0437105690227036,-0.198049785020845,-0.131758155214574,-0.0752879762158304,0.00292094121999695,-0.0676660734557284,-0.0132243463474347,-0.063522266922852,0,-0.0061759068953681,0.0386643103408156,0.161597477871026,0.180324756284159,0.00813402647291657,-0.0753237573506619,0.0990910926095955,0.29361908807454,0.458702404244076,0.0548304329071704,-0.312984582382068,-0.0716276010728164,0.197712208205058,-0.198873402287815,-0.107812085394033,-0.027555326533989,-0.0907407726117004,0.0965994722475519,-0.189117921956319,0.0751687370555594,-0.0555983364688628,-0.186339198154508,-0.145369477986092,-0.339356330186903,-0.127592382562411,-0.0334174248950038,-0.294714808199961,-0.0832341001085207,0.198298632926612,0.0949293265718241
"2",2,-0.668876799903862,0.0152474814375988,-0.496286307690977,-0.22617933019257,0,-0.00199824152147313,0.133553689501688,-0.175515462726502,0.00425059147890725,-0.0167834294492013,0.0631010262611526,-0.0136546423916754,-0.0393297044955178,-0.318649312936102,0.00829025565793776,-0.0702933764035366,-0.0540369681793762,-0.134453253416425,0.0192635889889914,-0.16168889816072,0.0601089909612171,-0.0574714330323667,-0.139606438599225,0.0685659564977063,0.0543373547302485,0.0576706248319117,0.00339357168092389,-0.0861364946736936,-0.1826896110457,-0.126675287217392,-0.063290228748126,0.00893966246121383,-0.104672367467602,-0.0500401446645698,-0.171971987101611,0,0.14857094900419,0.04916524231994,0.208217084212092,0.162091684139294,0.00835151015971471,-0.0995908748042332,0.05095328659555,0.0601775700397459,0.433173187055572,0.0932741261599462,-0.120086264393815,-0.0669383140675393,0.1877895582604,-0.166204388115621,-0.194844772932328,-0.0966437190660532,-0.000546455032724491,0.132735789937937,-0.131310544528244,-0.0580892558454113,-0.0408672757447019,-0.19506003256926,-0.113540356183056,-0.444646781592818,-0.252703007990635,-0.0685468068104153,-0.231567650706519,-0.0432967807409445,0.0604191168590069,-0.089688200939797
"3",3,-0.666554570744338,0.0155225373930692,-0.4671790018144,-0.231304678448854,0,0.0329805261097946,0.0372725362004775,-0.0106435852304735,-0.0162092571636514,0.0143843840054159,0.104133796589333,0.0315461499381348,-0.0610022154637953,-0.272001544950241,0.00920481862962771,-0.086824234487187,0.0108588918891768,-0.187685995047238,0.0714846977746494,-0.123640592008309,0.0539647459940109,-0.0492079190405678,-0.066478042534664,0.0585448392732013,0.119796895203506,0.0465599432524724,0.0543292097106962,-0.11736873421118,-0.191808711256029,-0.098093075340303,-0.064565291457569,-0.0201131084133807,-0.0439457968718585,0.0239625083998021,-0.161782851363825,0,0.0925843482813759,-0.093786587953349,0.151992694344469,0.0903844285966929,0.0513708047246752,-0.204303671897769,0.11794803774465,0.126540991641378,0.407872642944236,0.120578375015234,-0.150405850286117,-0.0682960688662688,0.0632082913632307,-0.196627397725766,-0.182870617925781,-0.0669093874915414,-0.305291213872934,0.0733721119336227,-0.260589049901798,0.0282800507977742,0.0721938559495572,-0.185155450607431,-0.0150531670099947,-0.588202389018746,-0.147619157685365,-0.124018713500927,-0.155977706869002,-0.00411521172282819,0.207418997231237,0.0492994650227281
"4",4,-0.660619455641569,0.0158840757546764,-0.466839868484566,-0.22807599725727,0,-0.0904731126617219,-0.0145969350741977,-0.0361564745196158,-0.0460276823059973,-0.00696589575269713,0.109652917375267,0.0405667099072661,-0.122279613150006,-0.322735762180083,-0.0479600225252075,-0.0181122738812448,-0.0823530848525787,-0.189978340310701,0.0486656681764998,-0.163790952796743,0.025349163275279,-0.0671143267985973,-0.0745816321596608,0.0602221557628973,0.110511188823267,0.0561044993182484,-0.0591161746544826,-0.161386087319898,-0.160079193180716,-0.154951423948591,-0.0630031061852193,0.0369515479321756,-0.0242751772939418,-0.0106298746114807,-0.175054155020617,0,0.0538074589007903,-0.124534702202329,0.253335395849833,0.16725475372351,-0.0212545884581599,-0.0172630321558986,0.0952101808871531,0.218323438321379,0.426348073669042,0.0812551251519014,-0.0192288798090696,-0.092037173190689,0.024695152911176,-0.158086330428308,-0.113054421659977,-0.0919732286392221,-0.0376235567925909,0.109388079300319,-0.196273375305545,0.0254066294116386,-0.00292946361977037,-0.316046674330881,-0.00585711371185166,-0.499736963367322,-0.165665644049991,-0.155542695909087,-0.270138560444067,0.00335209585780949,0.228514516992641,-0.0207622403212213
"5",5,-0.655632978227253,0.0154666170061411,-0.4765361510375,-0.228685417293443,0,0.00340036538570213,0.0588669447378934,-0.0541009933561301,0.101209262216617,0.0878994753713435,0.113137883377678,-0.0439044151158384,-0.108439900574837,-0.186524750559972,-0.0758699903860303,-0.0477378631657928,-0.0943778454038425,-0.231231803805112,0.0331683122870579,-0.280590591990826,0.0883073819015025,-0.127795351831666,-0.103960420711229,0.126394427835945,0.0960737329231454,-0.034281753717033,-0.0736400411531317,-0.17299201990033,-0.176575871062492,-0.160125163386826,-0.0626671093378024,0.0089600340422057,-0.0763694823121377,0.00891344472756754,-0.155714993766293,0,0.0159761228313014,0.0654718194971812,0.0824733249428879,0.112942311488188,-0.0699595121260608,-0.0313608808952184,0.126648046113635,0.139080682842873,0.389890545440138,-0.0161448869980789,0.0155874679934423,-0.0954645741685622,0.0754304547800433,-0.0471246399028395,-0.089565691618069,-0.053684108362286,-0.0519078501753148,0.0862593830826114,-0.204691803111038,-0.0527145402920981,0.0817745275958239,-0.232792046963695,-0.181572078442059,-0.504769764900886,-0.203554636307601,-0.0863807979589878,-0.311813436477753,-0.0051053686328474,0.340098245318976,0.0763657869577216
"6",6,-0.662917169247835,0.0160085177831733,-0.477644585767253,-0.228054359971717,0,-0.0688444791165904,0.0275915142797559,0.037921665971318,0.0841517399110957,0.0294482807317279,0.0366698977118834,0.0415260135516714,-0.107707695764329,-0.280735584164328,-0.0501447016681326,-0.0509381077648585,-0.124236868203202,-0.195598210334631,0.00346104512089911,-0.113196384389959,0.0284256281355579,-0.136300153548125,-0.0132725157409225,0.0452040055092739,-0.00673747643131395,-0.00107571665446712,-0.0693506961303195,-0.195656761821642,-0.229840219554256,-0.150634653821221,-0.112324022864592,0.0273091399550642,-0.0823973678173159,0.0177882092979692,-0.140688059394034,0,0.0470907524302181,-0.0219602348940216,0.0676241016143277,0.249832822561316,0.0425603659114733,-0.0173787856461884,0.0312236753212029,0.231042574288014,0.320719160788764,-0.0129541707668422,-0.24064228289997,-0.23764379155798,0.1254627112555,-0.0842505445674315,-0.156628226967616,-0.0435633320327151,-0.0709672174248757,0.0514554211510343,-0.17730236424508,0.0055065849203873,0.0353707121391574,-0.211698416580542,-0.0298633126114685,-0.459406900697547,-0.129286948441489,-0.102616736345382,-0.152329106003065,0.00423299238006158,0.216911075125729,0.0490169172923748
"7",7,-0.646022894660312,0.015633915330383,-0.475717307425946,-0.224661533215112,0,-0.0954466192782721,0.0937638160061573,-0.0525137728420553,-0.0060411558286959,-0.016443065672627,0.0105574980018024,-0.0284248178432556,-0.105814230957135,-0.22242935420412,-0.0579198138216233,0.000297072851220798,-0.0483978053911605,-0.187689897091505,0.00337128638446147,-0.150323431500263,0.0537603902820723,-0.0805125738269831,-0.0124903540169035,-0.0408832781055328,0.0285994312640771,-0.0364207087017685,-0.0524908800305138,-0.147921962101018,-0.161804180342898,-0.130113195515773,-0.101479863028152,0.02953764437155,-0.0858607116450803,0.0284730210442496,-0.104216197599195,0,0.0801323139377405,-0.0490220067610771,0.067315316880239,0.0941543413132871,0.0910295349497335,-0.157914494012369,0.0855219013576343,0.169026520502414,0.407254592245603,0.137752032933976,-0.238962596849618,-0.27032515144286,0.087971192521368,-0.153991178366317,-0.1820198291491,-0.039161583408029,-0.0199662080947882,0.0354599702385573,-0.167703532361525,0.0574987510387455,0.0361939005535994,-0.189080785964646,-0.215522046348188,-0.424405944086219,-0.218374288479098,-0.164373296023239,-0.341363083901361,-0.0666958104544992,0.129896160620341,0.0253259313034321
"8",8,-0.648313432154453,0.0163880572556485,-0.485595196255826,-0.220355449284854,0,-0.0412393940390595,0.0961865631901312,-0.0179190964678871,-0.0658555617025433,-0.0158726739450394,0.0171934925120737,0.0237132532640846,-0.0446854762893897,-0.28185702731377,-0.154620138839081,-0.0276022611292252,-0.00493132728756046,-0.1890221980623,-0.0576212080929855,-0.179278987451454,0.0399963126746642,-0.0668425879188264,-0.0401896056086909,0.0243989290018546,-0.0652415839539525,-0.0281836841489037,-0.0349360730619723,-0.203634712889686,-0.189103310636414,-0.0731026994484335,-0.0903268210127592,0.0511568491439447,-0.0554813949060724,0.0315155967730553,-0.106945553841204,0,0.0751620129232813,-0.0303198645012279,0.125958452094633,0.11763188098848,0.0117256533026715,-0.199207987086299,0.0827878057174862,0.163593330856171,0.350301967643506,0.0903604658783793,-0.183210805378873,-0.0438949247891531,0.0572291145427092,-0.162867313671893,-0.169403597967524,-0.0989613845481512,-0.056051970687237,0.0368696620759027,-0.198398919760425,0.0175571375489254,0.0213053218291525,-0.353910757518419,-0.219558919564249,-0.321243489882282,-0.314305249868898,-0.146293104034952,-0.122605758575705,0.0733201246283831,0.12175409818683,0.0586515629365534
"9",9,-0.657881724713562,0.0166241027966479,-0.491734964235351,-0.222514759197882,0,-0.00848527711196494,0.0731112816118244,-0.0472119703337116,0.0017133319472484,0.0831697263389834,0.0453593610387795,-0.02067602074996,-0.0659319491068013,-0.340437138045606,-0.117626675678445,-0.0373635847728691,-0.00371319174028639,-0.196569258906746,-0.0201969793264681,-0.256557090286233,0.036458702560783,-0.0517033262676647,-0.00982278450916993,-0.00127684941991744,-0.0384030446340456,0.0570146683966386,-0.036048022647626,-0.186499233626154,-0.198901965807168,-0.0962681654568747,0.0186478009547788,-0.00707834983074004,-0.0651366300436028,0.0963391978904257,-0.0947878870043084,0,0.0624225305952987,-0.0822208160678996,0.0987270709452777,0.185050302977087,0.040128994245159,-0.196291294452629,0.137415883854928,0.168649409626591,0.365131466710721,0.0428582634359298,-0.150533212164989,-0.140616633484331,0.138339088413315,-0.147080208618795,-0.16782595629045,0.0322408903551446,-0.00127616431561625,-0.0240957792153382,-0.169622280670121,0.105904852163278,0.0493630142974161,-0.237234919890927,0.0940755990224184,-0.361686053992952,-0.316523357258308,-0.218611565813498,-0.15204175727394,0.00612323533608287,0.149440924036252,0.00790190671655316
"10",10,-0.671434375883183,0.0187814887323475,-0.512605780333768,-0.222533269860624,0,-0.0655861820205981,0.137199522671007,-0.044854827815915,0.0356022071358996,0.0954475038573014,0.0547221696783459,-0.0224277894269014,-0.0732766189843664,-0.276980779317575,-0.0281466628954987,0.0644065745348508,-0.153307586088427,-0.263240254724932,0.0690268686583052,-0.270612929083468,0.0371699118085996,-0.0407468397220647,-0.156786200855166,0.0191254067111305,0.0255954170229644,-0.0168577529600051,-0.0568219784251944,-0.128081895880994,-0.235772267961522,-0.0906123489319431,-0.0232870260298297,-0.0182753677406881,-0.135046121355599,-0.0876097609157788,-0.150597867419405,0,0.0570232779277734,0.00595686536753498,0.142415076881849,0.146223179681642,0.0574228345572131,0.0125630059257929,0.127793261537068,0.0842215962425149,0.400771503412663,0.0229685922342706,-0.305462332883077,-0.155095683524259,0.109154110400673,-0.187045492648285,-0.140023430136912,-0.122034074393079,-0.0577573323038717,0.046502690306325,-0.176245033027741,0.0739538125752719,-4.3966471978088e-05,-0.234881145259878,-0.198422198006185,-0.441771504022584,-0.14176672102395,0.0263308682983837,-0.166415375870508,-0.0517346998523334,0.182184754399541,0.105146209257375
